ParticipantId,AnnualHouseholdIncome,BirthYear2020,CoronavirusConcern2,CoronavirusEmployment,CoronavirusIntent_Mask,CoronavirusIntent_SixFeet,CoronavirusIntent_StayHome,CoronavirusIntent_WashHands,CoronavirusLocalCommunity,CoronavirusSupportSystem,CoronavirusSymptomSelect,Education_Alt2,Ethnicity,Gender,HasCoronavirusBelief,PoliticalBeliefsNoOp,Religion_Alt1,Religiosity_Alt2,ZipCode
0,71000,2002,8.6,['was-full'],71,42,14,93,0,"['fam-friend', 'state-gov']",['none'],highschool,white,female,1.7,5,nothing-in-particular,0,497
1,250000,1990,10,['was-jobless'],73,77,77,76,2,['employer'],"['dry-cough', 'short-breath', 'diarrhea', 'muscle-ache', 'fatigue', 'nasal', 'sore-throat', 'lost-smell-taste', 'fever', 'headache', 'nausea-vomit']",highschool,black,female,10,10,catholic,8.8,29
2,68000,1993,6.3,"['now-full', 'was-full']",100,100,100,75,2,['fam-friend'],"['nasal', 'headache']",college,white,female,2,1.8,agnostic,0,606
3,125000,1980,8.4,"['was-full', 'now-full']",67,53,56,70,2,['fam-friend'],"['dry-cough', 'muscle-ache', 'nasal', 'headache']",postgrad,white,male,2.9,6.1,nothing-in-particular,2.9,554
4,62000,1998,8,['now-part'],100,100,75,100,0,"['employer', 'fam-friend']",['none'],postgrad,black,female,0,7,catholic,10,604
5,24000,1998,10,['was-full'],100,100,100,97,0,['fam-friend'],['none'],college,black,male,0,4.9,something-else,6.8,112
6,100000,2002,10,['now-jobless'],100,99,100,100,1,"['local-gov', 'state-gov']",['fatigue'],highschool,black,female,0,3.8,muslim,3.1,211
7,6700,1995,7.8,['now-full'],100,100,100,33,0,['fam-friend'],['fever'],college,white,male,0,6.8,catholic,7.4,601
8,125000,1963,6.4,['was-part'],77,92,74,82,0,['local-community'],['headache'],postgrad,white,male,2.2,8.6,mormon,8.2,840
9,140000,1971,5,['was-full'],4,71,0,90,0,['fam-friend'],['none'],college,white,male,0,3.6,catholic,1.7,80
10,150000,1991,7.7,['was-full'],82,100,100,100,2,['fam-friend'],['none'],college,white,male,2.5,6.9,other-protestant,9.6,741
11,60000,1995,6.9,['now-full'],100,100,100,100,0,['fam-friend'],"['headache', 'fatigue', 'diarrhea', 'short-breath', 'nasal']",college,asian,male,5.6,0,atheist,0,430
12,57000,1974,5.1,['now-part'],13,96,24,77,0,['fam-friend'],['nasal'],college,hispanic-latino,female,0.3,3.5,catholic,8.2,480
13,98000,1996,8.3,['was-full'],90,93,90,92,3,"['employer', 'fam-friend']","['dry-cough', 'muscle-ache']",postgrad,hispanic-latino,female,1.4,9.3,evangelical-protestant,8.4,321
14,55000,1964,9.2,['was-full'],89,89,94,83,0,['fam-friend'],['none'],highschool,white,female,0.4,4.6,catholic,6,755
15,150000,1950,9.1,['now-full'],77,79,87,69,0,['fam-friend'],['none'],college,black,male,0,8.6,catholic,7.9,902
16,50000,1967,1.1,['now-retired'],71,71,10,68,0,"['fam-friend', 'religious']",['none'],college,white,male,0.8,8.7,evangelical-protestant,8.6,493
17,24000,1982,8.6,['now-full'],90,6,90,16,1,['fam-friend'],['none'],highschool,hispanic-latino,male,1.3,8,something-else,9.2,765
18,90000,1997,5.6,['was-full'],57,73,60,73,2,"['fam-friend', 'fedgov']",['fatigue'],college,white,female,4.7,5.8,catholic,6.5,920
19,80000,1966,4.6,['was-full'],49,71,78,78,0,"['fedgov', 'state-gov', 'fam-friend', 'employer']",['none'],some-college,white,male,0,4.9,nothing-in-particular,1.3,648
20,15000,2000,10,['now-full'],100,100,100,100,5,['local-gov'],['none'],some-college,hispanic-latino,female,0,8,jewish,8.5,105
21,60000,1977,7.8,['now-full'],100,100,100,100,0,['fam-friend'],['none'],some-college,hispanic-latino,male,0,5,nothing-in-particular,6.5,111
22,100000,1986,6.1,['was-full'],100,100,100,100,0,['fam-friend'],['fatigue'],college,white,female,0,2.2,something-else,5.8,633
23,5255,1960,8.6,"['was-disabled', 'now-retired']",93,100,7,8,0,['fam-friend'],['dry-cough'],some-college,white,male,1.7,3.9,catholic,1,952
24,167000,,8.5,['now-jobless'],90,86,83,90,5,"['fam-friend', 'religious']",['none'],college,white,male,2.1,7.4,catholic,7.9,483
25,28000,1986,8.9,['was-jobless'],82,86,69,52,0,['no-one'],['none'],highschool,asian,male,1,5.1,catholic,9,707
26,120000,1980,5,['was-full'],100,100,100,21,0,['fam-friend'],['none'],college,white,male,0.1,3,nothing-in-particular,0.1,949
27,50000,2000,7.8,"['now-part', 'was-jobless', 'was-part']",91,80,18,14,0,"['fam-friend', 'religious']",['dry-cough'],some-college,white,male,2.1,8.6,catholic,7.7,321
28,49000,1957,9.3,"['now-retired', 'was-retired']",100,100,100,100,4,['fam-friend'],['none'],postgrad,white,female,0.1,4.9,something-else,7.8,377
29,58000,1986,8.2,['was-part'],100,46,82,78,0,['fam-friend'],['none'],college,hispanic-latino,female,0,5.4,nothing-in-particular,4.8,330
30,15000,1993,7.9,['now-jobless'],92,98,93,92,100,['no-one'],['none'],highschool,white,male,1.9,4.2,nothing-in-particular,5.4,542
31,45000,1973,3.8,['was-full'],6,51,68,44,0,"['fam-friend', 'employer']","['dry-cough', 'diarrhea', 'muscle-ache', 'nasal']",college,white,female,0.5,7.4,something-else,3.1,619
32,180000,1978,4.9,"['was-full', 'now-full']",100,95,97,95,0,['fam-friend'],['none'],college,black,female,4.8,6.1,catholic,5,774
33,145000,1978,10,['was-full'],100,100,100,100,0,"['fam-friend', 'local-gov', 'state-gov']",['none'],college,asian,male,1.9,5.2,atheist,2,917
34,160000,1957,2.6,"['was-full', 'now-full']",48,100,95,96,0,['fam-friend'],['none'],postgrad,white,female,0.3,9.3,evangelical-protestant,10,778
35,35000,1976,6.6,['was-full'],100,100,100,100,0,"['employer', 'fam-friend']",['none'],postgrad,black,female,2,1.4,something-else,7.5,232
36,100990,1996,6.5,"['now-jobless', 'was-part']",100,100,100,100,0,"['fam-friend', 'fedgov']",['none'],college,black,female,1.8,4.4,nothing-in-particular,8.3,100
37,27000,1997,5.5,['was-full'],86,100,58,100,0,['fam-friend'],['none'],highschool,white,female,0,1.8,atheist,0.4,731
38,127000,1963,7.1,"['was-part', 'now-part']",100,100,98,99,0,"['fam-friend', 'religious']","['dry-cough', 'sore-throat']",college,white,female,3.2,6,evangelical-protestant,6.7,327
39,65000,1988,5.1,"['was-full', 'now-full']",52,63,67,60,9,"['fam-friend', 'employer', 'local-gov', 'state-gov']",['headache'],college,white,male,1,5.8,evangelical-protestant,6.1,280
40,60000,1988,9.7,['was-jobless'],100,100,100,100,0,"['state-gov', 'local-gov', 'fedgov']",['none'],college,asian,female,0,6.5,other-protestant,5.5,906
41,189000,1997,8.7,"['was-full', 'now-full']",100,69,100,100,5,"['fam-friend', 'state-gov']",['dry-cough'],postgrad,black,female,0,2.1,catholic,5.4,112
42,20000,1986,5.2,['now-full'],65,100,79,100,0,['fam-friend'],['none'],some-college,other-mixed,female,0,5.1,something-else,3.1,851
43,12000,1965,10,['now-disabled'],100,100,100,100,0,['state-gov'],"['dry-cough', 'headache']",highschool,white,female,2.3,10,catholic,5.4,546
44,27000,1981,6,['was-full'],54,100,100,100,0,"['fam-friend', 'fedgov', 'state-gov']",['none'],some-college,white,male,0.2,5.4,other-protestant,9.4,280
45,70000,2000,2.9,['now-jobless'],70,58,76,62,0,['fam-friend'],['none'],highschool,white,male,0.7,5.7,nothing-in-particular,5.4,142
46,24000,1944,7.3,['was-part'],100,100,100,65,0,['no-one'],['nasal'],some-college,white,female,0,2.5,nothing-in-particular,2.7,554
47,205000,1984,7.7,['was-full'],97,92,94,97,2,"['fam-friend', 'employer', 'state-gov']",['none'],postgrad,white,male,6.2,1.6,agnostic,2.8,908
48,100000,1998,9.6,"['was-jobless', 'now-retired', 'now-part', 'was-disabled']",96,92,86,21,0,"['religious', 'state-gov', 'other', 'employer']","['headache', 'muscle-ache']",college,white,female,0.8,0.8,mormon,9,600
49,24000,1955,7.1,['now-disabled'],80,21,100,35,0,"['fam-friend', 'state-gov', 'fedgov']","['fatigue', 'headache']",some-college,white,male,2,2.9,jewish,4.7,334
50,90000,1999,3.3,['now-full'],27,59,34,43,0,['religious'],['diarrhea'],highschool,other-mixed,female,0,3.3,catholic,3.8,445
51,160000,1991,2.9,"['was-full', 'now-full']",75,76,61,71,0,"['employer', 'fam-friend']",['none'],some-college,white,female,0,7.7,something-else,8.3,786
52,89000,1984,6.9,['was-full'],100,100,100,91,0,['fam-friend'],['none'],college,white,female,2.3,8.1,catholic,6,405
53,50000,1969,7.5,['was-full'],83,99,91,70,0,['fam-friend'],['none'],some-college,white,male,1.1,6.8,evangelical-protestant,4.8,121
54,40000,2000,5,['now-jobless'],48,50,0,51,0,['fam-friend'],['none'],highschool,other-mixed,male,0.1,0,catholic,5,950
55,54000,1993,6.6,['was-full'],100,100,100,100,0,['fam-friend'],['sore-throat'],college,white,female,4.3,6,catholic,1.6,194
56,257478,1938,9.7,['now-full'],73,14,98,95,1,"['local-gov', 'religious']","['short-breath', 'nausea-vomit']",some-college,white,male,2.4,8.7,mormon,9.8,284
57,58000,1983,0,['was-full'],70,87,25,8,0,"['fedgov', 'state-gov', 'local-gov', 'fam-friend', 'other', 'local-community', 'private-org']",['none'],college,hispanic-latino,female,0,2.9,something-else,9.5,957
58,35000,1988,6,['now-disabled'],79,100,59,54,0,['fam-friend'],['none'],some-college,white,female,0.5,4,nothing-in-particular,7,335
59,100000,1984,9.3,['was-full'],99,100,96,98,5,"['fam-friend', 'employer', 'state-gov', 'local-gov', 'fedgov', 'religious', 'local-community']","['headache', 'fatigue']",college,white,male,6.2,2.7,other-protestant,10,432
60,20000,1959,8.4,['was-disabled'],80,90,85,19,0,['fam-friend'],['short-breath'],highschool,black,male,1.6,2.1,other-protestant,6.4,618
61,10000,2000,5.8,['now-part'],100,100,100,100,0,['local-community'],['none'],college,white,female,0.9,4.9,something-else,6.7,956
62,50000,1970,8.6,"['was-full', 'now-full']",92,93,89,81,0,['fam-friend'],['none'],college,white,female,1.1,0.8,catholic,6.3,328
63,125000,1954,9.7,['was-full'],92,95,89,74,0,['fam-friend'],['none'],postgrad,white,male,0.2,2.1,catholic,0.2,967
64,31000,1987,8.6,['was-full'],88,89,90,87,0,['fam-friend'],"['nasal', 'fatigue']",highschool,white,female,2.7,8,catholic,8.4,833
65,75000,1979,6.8,"['was-part', 'now-part']",93,89,96,68,0,['fam-friend'],['nasal'],college,white,male,1,4.8,evangelical-protestant,7.9,320
66,10000,1996,0,['now-disabled'],57,50,52,49,0,['no-one'],['none'],some-college,white,male,1.2,4.3,nothing-in-particular,5.7,320
67,24437,2000,6.9,['was-full'],56,58,54,67,0,"['other', 'fedgov', 'state-gov']",['nasal'],college,white,female,6.9,7,catholic,6.3,700
68,20000,2000,10,['now-retired'],100,100,100,100,0,['fam-friend'],"['sore-throat', 'headache', 'fever', 'short-breath']",some-college,black,female,0,4.9,nothing-in-particular,5,708
69,12000,1992,5.4,['now-disabled'],45,46,43,49,0,['no-one'],['none'],college,black,male,0,4.1,something-else,0.1,276
70,197000,1998,7.2,['was-part'],31,83,80,75,8,['state-gov'],['fatigue'],college,other-mixed,male,8.2,7.5,nothing-in-particular,6.6,100
71,30000,1979,8.5,['now-jobless'],100,100,100,100,0,['fam-friend'],['none'],highschool,asian,female,0,5.8,atheist,0,850
72,75000,1992,2.3,"['was-full', 'now-full']",100,69,84,96,0,['fam-friend'],['none'],college,white,female,0.1,7.5,nothing-in-particular,1.4,333
73,65000,2001,7.3,['was-jobless'],100,79,100,69,4,['fam-friend'],['headache'],school,white,female,0.6,7.8,nothing-in-particular,3.8,88
