,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'B'}),frozenset({'C'}),0.891891892,1,0.891891892,1,1,0,inf
1,frozenset({'C'}),frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
2,frozenset({'D'}),frozenset({'B'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
3,frozenset({'B'}),frozenset({'D'}),0.891891892,0.891891892,0.837837838,0.939393939,1.053259871,0.042366691,1.783783784
4,frozenset({'B'}),frozenset({'E'}),0.891891892,1,0.891891892,1,1,0,inf
5,frozenset({'E'}),frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
6,frozenset({'B'}),frozenset({'F'}),0.891891892,1,0.891891892,1,1,0,inf
7,frozenset({'F'}),frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
8,frozenset({'B'}),frozenset({'G'}),0.891891892,1,0.891891892,1,1,0,inf
9,frozenset({'G'}),frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
10,frozenset({'B'}),frozenset({'H'}),0.891891892,1,0.891891892,1,1,0,inf
11,frozenset({'H'}),frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
12,frozenset({'B'}),frozenset({'I'}),0.891891892,0.972972973,0.864864865,0.96969697,0.996632997,-0.002921841,0.891891892
13,frozenset({'I'}),frozenset({'B'}),0.972972973,0.891891892,0.864864865,0.888888889,0.996632997,-0.002921841,0.972972973
14,frozenset({'B'}),frozenset({'J'}),0.891891892,0.945945946,0.864864865,0.96969697,1.025108225,0.021183346,1.783783784
15,frozenset({'J'}),frozenset({'B'}),0.945945946,0.891891892,0.864864865,0.914285714,1.025108225,0.021183346,1.261261261
16,frozenset({'D'}),frozenset({'C'}),0.891891892,1,0.891891892,1,1,0,inf
17,frozenset({'C'}),frozenset({'D'}),1,0.891891892,0.891891892,0.891891892,1,0,1
18,frozenset({'E'}),frozenset({'C'}),1,1,1,1,1,0,inf
19,frozenset({'C'}),frozenset({'E'}),1,1,1,1,1,0,inf
20,frozenset({'C'}),frozenset({'F'}),1,1,1,1,1,0,inf
21,frozenset({'F'}),frozenset({'C'}),1,1,1,1,1,0,inf
22,frozenset({'G'}),frozenset({'C'}),1,1,1,1,1,0,inf
23,frozenset({'C'}),frozenset({'G'}),1,1,1,1,1,0,inf
24,frozenset({'C'}),frozenset({'H'}),1,1,1,1,1,0,inf
25,frozenset({'H'}),frozenset({'C'}),1,1,1,1,1,0,inf
26,frozenset({'C'}),frozenset({'I'}),1,0.972972973,0.972972973,0.972972973,1,0,1
27,frozenset({'I'}),frozenset({'C'}),0.972972973,1,0.972972973,1,1,0,inf
28,frozenset({'J'}),frozenset({'C'}),0.945945946,1,0.945945946,1,1,0,inf
29,frozenset({'C'}),frozenset({'J'}),1,0.945945946,0.945945946,0.945945946,1,0,1
30,frozenset({'D'}),frozenset({'E'}),0.891891892,1,0.891891892,1,1,0,inf
31,frozenset({'E'}),frozenset({'D'}),1,0.891891892,0.891891892,0.891891892,1,0,1
32,frozenset({'D'}),frozenset({'F'}),0.891891892,1,0.891891892,1,1,0,inf
33,frozenset({'F'}),frozenset({'D'}),1,0.891891892,0.891891892,0.891891892,1,0,1
34,frozenset({'D'}),frozenset({'G'}),0.891891892,1,0.891891892,1,1,0,inf
35,frozenset({'G'}),frozenset({'D'}),1,0.891891892,0.891891892,0.891891892,1,0,1
36,frozenset({'D'}),frozenset({'H'}),0.891891892,1,0.891891892,1,1,0,inf
37,frozenset({'H'}),frozenset({'D'}),1,0.891891892,0.891891892,0.891891892,1,0,1
38,frozenset({'D'}),frozenset({'I'}),0.891891892,0.972972973,0.864864865,0.96969697,0.996632997,-0.002921841,0.891891892
39,frozenset({'I'}),frozenset({'D'}),0.972972973,0.891891892,0.864864865,0.888888889,0.996632997,-0.002921841,0.972972973
40,frozenset({'D'}),frozenset({'J'}),0.891891892,0.945945946,0.864864865,0.96969697,1.025108225,0.021183346,1.783783784
