,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
0,0,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
1,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
2,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
3,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
4,0,0,True,0,True,True,True,True,True,True,0,0,0,0,0,0,0,0
5,0,0,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
6,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
7,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
8,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,True,True,True
11,0,0,True,True,True,True,True,True,True,True,0,0,0,0,True,0,0,0
12,0,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
13,0,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0
14,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
15,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,0,0,0
16,0,0,True,0,True,True,True,True,True,0,0,0,0,0,0,0,0,0
17,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
18,True,True,True,True,True,True,True,True,True,True,True,0,0,True,0,0,0,0
19,True,True,True,True,True,True,True,True,True,True,True,0,0,True,0,0,True,0
20,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
21,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
22,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
23,0,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,True
24,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
25,0,True,True,0,True,True,True,True,True,True,0,0,0,0,0,0,0,0
26,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
27,0,True,True,True,True,True,True,True,True,True,True,0,True,0,0,0,0,0
28,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
29,0,True,True,True,True,True,True,True,True,True,0,True,0,0,0,0,0,0
30,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,True,0
31,0,True,True,0,True,True,True,True,True,True,True,0,0,0,0,0,0,0
32,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,True,0
33,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True
34,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
35,0,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0
36,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0
